Username,Text,Date Created,Number of Likes,Number of Retweet,Number of Replies,Source of Tweet,User ID,Conversation ID,status,Category,Translated Text
gemyt22,@missfazura Man jadda wa jadda 😷,2021-06-28 00:45:44+00:00,0,0,0,Twitter for Android,1409312023410712577,1409106066303066113,reply,Celebrity,@missfazura Man jadda wa jadda 😷
TKujow,@missfazura Hi miss boleh pm sy bila sunyi sbb sy boleh berbunyi,2021-06-28 14:22:07+00:00,0,0,0,Twitter for Android,1409517472550514688,1409106066303066113,reply,Celebrity,"@missfazura Hi miss, can you pm me when it's quiet so I can ring"
WAsterose,"@missfazura Allahuakbar😔Tak da ke rumah kebajikan yg setia ada untuk org2 yg betul sempit xx Berapa bnyk org2  kaya di Msia ...beribu2 org yg kaya raya yg berjuta juta dlm bank, kalau bergabung dn tolong org yg susah tak kan lah bayi ni dlm keadaan ini🙏🏽Inallilahi wainna illahi rajiuun",2021-06-25 04:02:13+00:00,10,0,0,Twitter for iPhone,1408274303888412677,1408271963013881862,reply,Celebrity,"@missfazura Allahuakbar😔 I haven't been to a charity house that is loyal and is there for people who are really poor xx How many rich people are there in Msia...thousands of rich people who have millions in the bank, if you join together and help people in need, won't this baby in this situation 🙏🏽Inallilahi wainna illahi rajiuun"
mannerisms979,"@missfazura 266 kes bunuh diri sepanjang PKP. Apalah nasib rakyat... Apakah masa depan negara dan Apalah nasib bangsa serta generasi seterusnya???

Benar-benar mengecewakan.
😢😢

#KerajaanGagal https://t.co/OFbrh5ZmdN",2021-06-25 04:10:39+00:00,2,2,0,Twitter for Android,1408276427527528457,1408271963013881862,reply,Celebrity,"@missfazura 266 suicide cases during MCO. What is the fate of the people... What is the future of the country and What is the fate of the nation and the next generation???

Really disappointing.
😢😢

#KeraanGagal https://t.co/OFbrh5ZmdN"
Tulip_iHeartYou,@missfazura Ya allah.. Astaghfirullahalaziiim ☹️😭💔,2021-06-25 04:30:28+00:00,1,0,0,Twitter for Android,1408281415142109186,1408271963013881862,reply,Celebrity,@missfazura Ya Allah.. Astaghfirullahalaziiim ☹️😭💔
Art8taBall,@missfazura Heart breaking 😢😢,2021-06-25 04:31:42+00:00,1,0,0,Twitter for Android,1408281724325224448,1408271963013881862,reply,Celebrity,@missfazura Heart breaking 😢😢
AzuraMerzam,@missfazura Alfatihah buat ank syurga ini,2021-06-25 04:54:39+00:00,3,0,0,Twitter for iPhone,1408287500733272067,1408271963013881862,reply,Celebrity,@missfazura Alfatihah for this heaven
by_jrm,@missfazura Allahuakbar 😭,2021-06-25 05:01:36+00:00,3,0,0,Twitter for iPhone,1408289250366279680,1408271963013881862,reply,Celebrity,@missfazura Allahuakbar 😭
ddfslush,@missfazura 🥺,2021-06-25 05:06:42+00:00,1,0,0,Twitter for iPhone,1408290532820885507,1408271963013881862,reply,Celebrity,@missfazura 🥺
zalina5678,@missfazura 😭😭😭,2021-06-25 05:16:17+00:00,1,0,0,Twitter for Android,1408292944684089349,1408271963013881862,reply,Celebrity,@missfazura 😭😭😭
Coconuttynutt,@missfazura Anak syurga . Sad how it’s managed but I feel the baby’s passing is a blessing. Allah tak nak the baby to suffer later on in this world with parents uncertainty . It’s best if the baby stays in Heaven . Al-Fatihah .,2021-06-25 05:28:13+00:00,17,0,0,Twitter for iPhone,1408295946895589377,1408271963013881862,reply,Celebrity,@missfazura Anak syurga . Sad how it’s managed but I feel the baby’s passing is a blessing. Allah tak nak the baby to suffer later on in this world with parents uncertainty . It’s best if the baby stays in Heaven . Al-Fatihah .
WahidCili,@missfazura Allah.. Syurga buat bayi itu. Moga Allah hadirkan insan2 yg kaya dan pemurah untuk cari dan datang membantu pd org2 sekelilingnya yg mana dlm kesempitan hidup mcm ni,2021-06-25 05:57:14+00:00,2,0,0,Twitter for Android,1408303249929621507,1408271963013881862,reply,Celebrity,@missfazura God.. Heaven for that baby. May God present rich and generous people to find and come to help those around them who are in the straits of life like this
AzranAbu,@missfazura 😭😭,2021-06-25 05:57:50+00:00,1,0,0,Twitter for Android,1408303400052137988,1408271963013881862,reply,Celebrity,@missfazura 😭😭
musadatismail,@missfazura Al Fatihah... 😔😔,2021-06-25 06:49:43+00:00,1,0,0,Twitter for iPhone,1408316459965579264,1408271963013881862,reply,Celebrity,@missfazura Al Fatihah... 😔😔
reen_wan,@missfazura Semoga ibu arwah bby kuat!! Aku tahu mcm m mna perasaan tu.. mnangis peluk jenazah ank yg dh kaku.. 😭😭😭😭,2021-06-25 06:59:46+00:00,1,0,0,Twitter for Android,1408318988782764036,1408271963013881862,reply,Celebrity,@missfazura I hope bby's late mother is strong!! I know how you feel.. crying hugging your dead body.. 😭😭😭😭
ruby__razq,@missfazura Innalillahiwainnailaihirojiun.,2021-06-25 07:20:10+00:00,1,0,0,Twitter for Android,1408324122199814153,1408271963013881862,reply,Celebrity,@missfazura Innalillahiwainnailaihirojiun.
DelailaRashid,@missfazura Allahuakbar😭😭😭,2021-06-25 07:24:13+00:00,1,0,0,Twitter for iPhone,1408325138437660672,1408271963013881862,reply,Celebrity,@missfazura Allahu akbar 😭😭😭
faithluvvvv,@missfazura 😭😭😭,2021-06-25 07:49:03+00:00,1,0,0,Twitter for Android,1408331388370124801,1408271963013881862,reply,Celebrity,@missfazura 😭😭😭
fidahS1,@missfazura Allahuakbar😭😭😭,2021-06-25 09:51:46+00:00,2,0,0,Twitter for iPhone,1408362271449907207,1408271963013881862,reply,Celebrity,@missfazura Allahu akbar 😭😭😭
NicholetteJoyc1,@missfazura ..Amin.... https://t.co/sCkWmM9b27,2021-06-25 10:25:18+00:00,1,0,0,Twitter for Android,1408370712755130370,1408271963013881862,reply,Celebrity,@missfazura ..Amen.... https://t.co/sCkWmM9b27
abas_azlinda,@missfazura Al fatihah syurga tempat mu sayang😭😭,2021-06-25 16:35:57+00:00,2,0,0,Twitter for Android,1408463987910483974,1408271963013881862,reply,Celebrity,@missfazura Al fatihah heaven where you love 😭😭
rahimahzainul,@missfazura Allahuakbar. Sedih bila baca berita mcm ni☹️☹️😢😢,2021-06-25 17:03:27+00:00,0,0,0,Twitter for Android,1408470907220230146,1408271963013881862,reply,Celebrity,@missfazura Allahu akbar. Sad to read news like this ☹️☹️😢😢
zarashila,@missfazura Allah...nangis terus.. Pandang anak di sebelah.. Allah  Allah..,2021-06-25 17:04:42+00:00,3,0,0,Twitter for Android,1408471222539546625,1408271963013881862,reply,Celebrity,@missfazura God... keep crying.. Look at the child next door.. God God..
