Username,Text,Date Created,Number of Likes,Number of Retweet,Number of Replies,Source of Tweet,User ID,Conversation ID,status,Category,Translated Text
minor_Em9,@acaiijawe tahan nafas tu rules sama dengan sniper.,2021-10-16 04:32:41+00:00,0,0,1,Twitter for Android,1449231800652369928,1449185103188414467,reply,Technology,"@acaiijawe hold your breath, the rules are the same as snipers."
acaiijawe,"@theremin96 Yaa, itu skill paling penting nak ambil ganbar begini 😅.",2021-10-16 07:18:46+00:00,0,0,0,Twitter for iPhone,1449273599248912386,1449185103188414467,reply,Technology,"@theremin96 Yes, that's the most important skill to take pictures like this 😅."
hafzzan_,@acaiijawe Kalau zoom lens ada suggestions tak 😁,2021-10-16 05:08:29+00:00,0,0,1,Twitter for iPhone,1449240812282204160,1449185103188414467,reply,Technology,"@acaiijawe For zoom lens, do you have any suggestions?"
acaiijawe,"@hafzzan_ Lens lens tak pernah guna tuan. Tapi ada je diaorang jual. Tak tahu camne kualitinya.

https://t.co/snnIl5pCn7",2021-10-16 07:18:23+00:00,15,0,1,Twitter for iPhone,1449273501613842436,1449185103188414467,reply,Technology,"@hafzzan_ The lens has never been used sir. But there are people who sell it. I don't know how the quality is.

https://t.co/snnIl5pCn7"
lapopors,@acaiijawe Kalau ambik gambar orang guna lens ni padu tak? Ce share gambar hehe,2021-10-16 05:14:26+00:00,1,0,1,Twitter for Android,1449242305991348228,1449185103188414467,reply,Technology,"@acaiijawe If you take pictures of people using this lens, is it solid? I'll share the picture hehe"
acaiijawe,"@lapopors Eh, makro ni untuk close up je. Kalau gambar orang amik je macam biasa 😁. Tanggalkan lens tu.

Melainkan nak shoot macro kat mata dll.",2021-10-16 10:22:05+00:00,0,0,1,Twitter for iPhone,1449319730741870595,1449185103188414467,reply,Technology,"@lapopors Eh, this macro is only for close ups. If people's pictures are taken as usual 😁. Remove the lens.

Unless you want to shoot macro on the eyes etc."
tutulipsync,@acaiijawe Tahan nafas tu tip paaaaling berguna. Kadang macam nak pitam 🤣,2021-10-16 05:56:58+00:00,1,0,1,Twitter for Android,1449253010882789376,1449185103188414467,reply,Technology,@acaiijawe Holding your breath is a very useful tip. Sometimes I want to faint 🤣
acaiijawe,@tutulipsync Kalau cangkung sambil tahan nafas boleh tergolek ke belakang 😅.,2021-10-16 07:19:40+00:00,1,0,1,Twitter for iPhone,1449273822390067202,1449185103188414467,reply,Technology,"@tutulipsync If you squat while holding your breath, you can roll backwards 😅."
khairlanwr36,"@acaiijawe Guna external macro. Sesetengah phone ada feature macro built in. Manually, amik gambo subjek secara dekat, edit kt snapseed, adjust blur dan fokus kpd subjek",2021-10-16 06:33:56+00:00,0,0,1,Twitter for Android,1449262316285927429,1449185103188414467,reply,Technology,"@acaiijawe Use external macros. Some phones have macro features built in. Manually, take a close picture of the subject, edit it on snapseed, adjust the blur and focus on the subject"
acaiijawe,"@khairlanwr36 Betul. Tapi kalau lens macro tu berkualiti, memang subjek tu boleh fokus lebih baik dan gambar lebih berkualiti.",2021-10-16 07:20:41+00:00,0,0,0,Twitter for iPhone,1449274080377458691,1449185103188414467,reply,Technology,"@khairlanwr36 Right. But if the macro lens is of good quality, the subject can focus better and the picture is of better quality."
khairulhafiz_m,@acaiijawe Skill tahan nafas kena mahir dulu 😆 https://t.co/NKhTPyu6je,2021-10-16 06:53:00+00:00,32,0,1,Twitter for Android,1449267113399500802,1449185103188414467,reply,Technology,@acaiijawe The skill of holding your breath needs to be mastered first 😆 https://t.co/NKhTPyu6je
acaiijawe,@khairulhafiz_m Terbaik cot 👏🏼👏🏼😁. Gegar sikit terus blur dan serangga lari.,2021-10-16 07:13:19+00:00,6,0,0,Twitter for iPhone,1449272226235109379,1449185103188414467,reply,Technology,@khairulhafiz_m Best cot 👏🏼👏🏼😁. Shake a little and blur and insects run away.
